Accel_x,Accel_y,Accel_z
0.221,0.814,0.769
0.223,0.827,0.762
0.218,0.837,0.761
0.217,0.842,0.77
0.216,0.849,0.774
0.214,0.856,0.787
0.205,0.857,0.803
0.202,0.859,0.81
0.198,0.863,0.823
0.204,0.862,0.828
0.207,0.858,0.833
0.21,0.854,0.837
0.219,0.836,0.836
0.224,0.812,0.83
0.231,0.803,0.825
0.234,0.783,0.821
0.23,0.764,0.809
0.218,0.752,0.797
0.209,0.721,0.79
0.194,0.682,0.77
0.184,0.664,0.747
0.159,0.642,0.739
0.144,0.623,0.726
0.122,0.614,0.712
0.111,0.591,0.704
0.109,0.582,0.691
0.106,0.566,0.682
0.108,0.555,0.68
0.109,0.553,0.68
0.112,0.561,0.68
0.119,0.57,0.686
0.122,0.575,0.693
0.135,0.587,0.695
0.154,0.597,0.699
0.163,0.604,0.705
0.178,0.624,0.706
0.193,0.64,0.719
0.204,0.646,0.733
0.216,0.661,0.739
0.223,0.666,0.757
0.224,0.669,0.773
0.225,0.67,0.781
0.226,0.675,0.794
0.232,0.678,0.806
0.24,0.68,0.811
0.244,0.684,0.818
0.248,0.691,0.823
0.242,0.695,0.832
0.239,0.699,0.834
0.233,0.712,0.834
0.224,0.73,0.831
0.218,0.747,0.826
0.207,0.752,0.822
0.209,0.759,0.816
0.211,0.763,0.808
0.225,0.763,0.799
0.24,0.772,0.785
0.247,0.775,0.775
0.258,0.775,0.764
0.265,0.768,0.76
0.266,0.756,0.749
0.273,0.751,0.744
0.278,0.736,0.745
0.274,0.731,0.744
0.263,0.719,0.742
0.257,0.714,0.743
0.248,0.715,0.749
0.239,0.717,0.752
0.233,0.716,0.759
0.215,0.717,0.764
-0.143,1.121,0.813
-0.225,1.149,0.87
-0.263,1.159,0.929
-0.314,1.162,0.983
-0.34,1.153,1.008
-0.336,1.127,1.056
-0.32,1.109,1.082
-0.264,1.056,1.082
-0.226,0.994,1.059
-0.144,0.957,1.006
-0.058,0.879,0.973
0.021,0.799,0.895
0.058,0.758,0.819
0.1,0.692,0.781
0.107,0.652,0.701
0.099,0.631,0.64
0.07,0.599,0.621
0.053,0.571,0.59
0.006,0.569,0.587
-0.044,0.55,0.588
-0.067,0.507,0.597
-0.1,0.496,0.631
-0.118,0.474,0.655
-0.116,0.452,0.707
-0.11,0.442,0.751
-0.095,0.428,0.771
-0.08,0.418,0.802
-0.071,0.42,0.819
-0.048,0.427,0.825
-0.015,0.446,0.838
0.002,0.458,0.845
0.037,0.465,0.846
0.061,0.484,0.851
0.072,0.499,0.851
0.092,0.506,0.847
0.097,0.524,0.839
0.098,0.535,0.835
0.107,0.564,0.836
0.118,0.582,0.845
0.136,0.588,0.859
0.142,0.599,0.869
0.144,0.626,0.887
0.151,0.64,0.909
0.163,0.663,0.918
0.168,0.68,0.939
0.171,0.689,0.948
0.176,0.706,0.952
0.177,0.716,0.959
0.194,0.716,0.958
0.215,0.707,0.955
0.226,0.691,0.956
0.252,0.681,0.951
0.267,0.658,0.947
0.271,0.642,0.938
0.265,0.508,0.93
0.244,0.614,0.922
0.223,0.604,0.909
0.216,0.602,0.902
0.208,0.593,0.901
0.204,0.59,0.903
0.194,0.587,0.905
0.191,0.576,0.904
0.188,0.566,0.896
0.189,0.56,0.887
0.189,0.551,0.884
0.191,0.539,0.875
0.203,0.529,0.872
0.22,0.511,0.869
0.228,0.495,0.855
0.247,0.49,0.851
0.257,0.491,0.851
0.259,0.5,0.849
0.257,0.506,0.849
0.258,0.52,0.855
0.258,0.537,0.867
0.265,0.546,0.873
0.264,0.56,0.881
0.267,0.578,0.891
0.274,0.589,0.895
0.286,0.601,0.901
0.293,0.604,0.903
0.302,0.608,0.903
0.308,0.601,0.892
0.316,0.596,0.882
0.328,0.578,0.871
0.33,0.562,0.852
0.327,0.558,0.834
0.32,0.546,0.824
0.316,0.526,0.802
0.315,0.517,0.783
0.31,0.5,0.777
0.3,0.501,0.766
0.296,0.496,0.765
0.285,0.496,0.766
0.282,0.503,0.771
0.281,0.506,0.781
0.275,0.515,0.784
0.268,0.523,0.795
0.264,0.527,0.809
0.264,0.527,0.817
0.272,0.538,0.83
0.28,0.55,0.84
0.294,0.557,0.85
0.299,0.544,0.857
0.3,0.531,0.866
0.306,0.529,0.871
0.31,0.521,0.858
0.318,0.509,0.882
0.312,0.53,0.877
0.306,0.525,0.861
0.279,0.519,0.859
0.276,0.522,0.859
0.278,0.528,0.855
0.273,0.532,0.853
0.26,0.535,0.852
0.253,0.544,0.85
0.251,0.54,0.862
0.25,0.545,0.863
0.25,0.554,0.85
-0.369,0.907,0.88
-0.387,0.956,0.916
-0.402,1.044,0.931
-0.404,1.119,0.96
-0.406,1.154,0.993
-0.422,1.213,1.003
-0.427,1.251,1.013
-0.422,1.261,1.015
-0.404,1.277,1.014
-0.375,1.282,1.013
-0.353,1.289,1.013
